duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,,,,,,,,,,,,,,,
142445,0.776,0,0TT2zA8fatUuvTnPABz3lS,0.00088,1,0.175,-7.919,1,Taro Yard Slaughter House,0,1920-01-29,0.268,159.775,0.567,1920,,,,,,,,,,,,,,,
214773,0.372,0,0UYplqEm5qa4hkEo64C0TW,0.0129,8,0.174,-12.666,0,"I photoúla, beráti",0,1920-01-01,0.0741,118.351,0.901,1920,,,,,,,,,,,,,,,
181200,0.255,0,0UztrUuVBPMn7cEys3LWQ4,0.00263,0,0.178,-9.041,1,Serenade of the Bells,0,1920,0.0536,79.186,0.154,1920,,,,,,,,,,,,,,,
166113,0.372,1,0XGoQAeP51ySJbtqXhuJrl,0,0,0.083,-11.634,1,Comme à l'époque,0,1920,0.455,133.047,0.222,1920,,,,,,,,,,,,,,,
267560,0.422,0,0YCVsd1quXrjZWIiROp1vw,0.788,8,0.347,-12.542,1,Aidiniko,0,1920-01-01,0.0385,110.562,0.668,1920,,,,,,,,,,,,,,,
171200,0.292,0,0YHjhp3fj1IgLFtDsw8v3M,0,1,0.234,-13.597,1,Bou Dou Ba Da Bouh,0,1920,0.126,127.325,0.723,1920,,,,,,,,,,,,,,,
489012,0.617,0,0Yt4hib6XmdB0YOkVl3QoL,0.902,11,0.149,-9.51,0,Day After - Original Mix,0,1920-01-01,0.0609,133.982,0.321,1920,,,,,,,,,,,,,,,
178133,0.274,0,0Z6sMDs4BqsNshmprUBWGT,0.428,8,0.172,-14.884,1,Oh Maurice,0,1920,0.225,64.75,0.769,1920,,,,,,,,,,,,,,,
162000,0.321,0,0aeTGPtEdNsqGDn3cqcS7l,0,11,0.309,-12.427,1,Jesus Paid It All,0,1920-04-01,0.0278,68.287,0.303,1920,,,,,,,,,,,,,,,
288293,0.83,0,0bq1lNI8OPhdRQYZZSSnQk,0.146,11,0.187,-7.876,0,Voodoo Doll,0,1920-02-29,0.0546,107.912,0.352,1920,,,,,,,,,,,,,,,
257667,0.292,0,0cU0Kxxk3w3HNDhv8m0cLf,0.000121,8,0.356,-22.969,1,Dancehall Good To Me,1,1920-01-03,0.0571,179.967,0.752,1920,,,,,,,,,,,,,,,
261013,0.791,0,0e0zhCKclqwgJgA7Tjg2ca,0,7,0.102,-8.584,1,Penticton Kitty,0,1920-02-29,0.0595,120.169,0.658,1920,,,,,,,,,,,,,,,
225707,0.328,0,0gIniSwikXODTBupqYPCI1,1.64E-06,0,0.0765,-18.8,1,Sweat (A La La La La Long),0,1920-01-03,0.0526,172.025,0.798,1920,,,,,,,,,,,,,,,
496170,0.592,0,0gmSdjhXEjlLVJh32Ii6Az,0.898,1,0.108,-10.421,1,Headbanger - Original Mix,0,1920-01-01,0.0439,133.992,0.396,1920,,,,,,,,,,,,,,,
180000,0.552,0,0h3qkb5rHEVsQm9JeySob5,0.855,11,0.135,-13.446,0,Kexirr,0,1920-06-26,0.0374,127.952,0.764,1920,,,,,,,,,,,,,,,
198000,0.229,0,0lqEx4vktZP1y9hnwfF27Y,6.05E-05,7,0.549,-12.619,1,Kansas City Man Blues - 78rpm Version,4,1920,0.0812,77.232,0.461,1920,,,,,,,,,,,,,,,
179160,0.169,0,0ojvOshbJWnvrcPRgLVtg2,0,7,0.0706,-13.139,1,Ca N'vaut Pas L'amour,0,1920,0.13,116.249,0.687,1920,,,,,,,,,,,,,,,
176360,0.191,0,0sj3QeaCpacCfxL4c5TQBl,0.0982,7,0.805,-12.889,0,Mean Man,0,1920,0.0508,70.059,0.605,1920,,,,,,,,,,,,,,,
229695,0.724,1,0tOhG2JieOnLL8XSCdoKcE,0,1,0.184,-5.492,1,#NOHOOK,0,1920-05-16,0.251,110.105,0.59,1920,,,,,,,,,,,,,,,
375015,0.724,0,0vhLeFi24U1oYB0odNNVV3,0.887,11,0.123,-7.373,0,Brusque - Original Mix,0,1920-01-01,0.0482,128.004,0.226,1920,,,,,,,,,,,,,,,
454776,0.922,0,0w1niwodVUkILevvugjgNa,0.855,1,0.123,-11.961,1,Quantum Fluctuation,0,1920-01-01,0.0771,158.049,0.264,1920,,,,,,,,,,,,,,,
235547,0.719,0,0xKe1lGyWBuk3lx3JIUUUx,0,0,0.111,-5.464,0,Cloud 9,0,1920-02-29,0.0271,92.01,0.697,1920,,,,,,,,,,,,,,,
264240,0.836,0,11rj3RWlVnnxW0EL7jwN8R,5.81E-06,9,0.191,-6.099,1,Big Jim and the Twins,0,1920-02-29,0.0451,105.986,0.635,1920,,,,,,,,,,,,,,,
144588,0.324,1,12EoJ4NTFAwRDsV0TeiSqD,0,9,0.282,-13.748,1,YP,0,1920,0.0726,130.024,0.265,1920,,,,,,,,,,,,,,,
203640,0.375,0,13Cp2OYw0AXbb39kj4vony,0.223,0,0.408,-9.089,0,"Neráida, tsámiko",0,1920-01-01,0.0336,110.115,0.592,1920,,,,,,,,,,,,,,,
231387,0.396,0,13GPrQSJCYQ0UubGg9IwZ0,0.0742,5,0.274,-8.578,1,Ntourou Ntourou,0,1920-01-01,0.0363,69.893,0.704,1920,,,,,,,,,,,,,,,
128500,0.255,1,14YYUaft0fQCYn7IqL4FYV,0.000287,10,0.321,-30.644,1,Indios Cheroqui (Live) [feat. Ariel Flores & Sam Nacht],0,1920,0.048,94.519,0.725,1920,,,,,,,,,,,,,,,
170161,0.705,0,16WOPztTggX5a2wdkG4zWL,0.821,8,0.209,-8.862,1,Zeet Zoot Zeet Zoot Zeet,0,1920-01-29,0.0622,108.999,0.672,1920,,,,,,,,,,,,,,,
188133,0.336,0,16p8aoTTQ08SkJtx1VATFD,0.143,6,0.199,-11.599,0,"Vrísi mou malamaténia, kalamatianó",0,1920-01-01,0.04,59.544,0.905,1920,,,,,,,,,,,,,,,
191173,0.298,0,17hxoQSZt46mkZGHtVt9yV,0,6,0.133,-17.141,1,L'oeil Assassin,0,1920,0.098,99.989,0.738,1920,,,,,,,,,,,,,,,
88696,0.939,0,1Bn6okAC9ntFOhKnsJPZkG,0.879,6,0.0924,-5.458,1,Playground Sparks,0,1920-01-01,0.0649,183.958,0.924,1920,,,,,,,,,,,,,,,
177173,0.247,0,1DfwOz5apF0w2d8hccSkhH,0.0684,9,0.362,-13.284,0,Frankie Blues,0,1920,0.04,130.804,0.841,1920,,,,,,,,,,,,,,,
230360,0.275,0,1GrSchVEDloSplofxpQX6h,0,8,0.588,-17.535,1,Toute Petite,0,1920,0.052,86.58,0.611,1920,,,,,,,,,,,,,,,
210293,0.718,0,1Gt8Mf423GHyuXIRHM1ymX,3.11E-06,0,0.319,-7.47,1,Jitterbug Jive,0,1920-02-29,0.0336,125.006,0.885,1920,,,,,,,,,,,,,,,
175200,0.182,0,1HAK7hlSD1szWBiaC7PO7A,0.668,10,0.47,-13.741,1,The Darktown Flappers' Ball,0,1920,0.0693,123.803,0.754,1920,,,,,,,,,,,,,,,
180467,0.339,0,1IXmlA1rKwIBqsxKE9PO2A,0,7,0.155,-15.169,1,Le Gri Gri D'amour,0,1920,0.121,121.47,0.701,1920,,,,,,,,,,,,,,,
188958,0.647,0,1KU6CRh6ctSo1uCupMAnA4,0.321,5,0.094,-7.474,1,Pillbox,0,1920-01-01,0.0337,112.023,0.0724,1920,,,,,,,,,,,,,,,
241813,0.498,0,1NLQkLXi6eKvHriBSo1pMv,0.00198,4,0.227,-10.333,1,Mpraila,0,1920-01-01,0.0367,130.632,0.795,1920,,,,,,,,,,,,,,,
168293,0.285,0,1QI5WTvnpNV5vJJQU4DPX1,0.938,7,0.193,-16.523,1,El Baccarat - Remasterizado,0,1920-07-08,0.0528,129.558,0.635,1920,,,,,,,,,,,,,,,
216720,0.621,0,1QS0MyTMZPosdthxhALOhT,0.784,3,0.151,-10.843,0,Argilamas kai psarades,0,1920-01-01,0.0394,77.537,0.559,1920,,,,,,,,,,,,,,,
163133,0.25,0,1X21kzrq3Fi1cGNaV8nTXa,0,4,0.188,-12.932,1,Les Petits Païens,0,1920,0.0726,138.405,0.881,1920,,,,,,,,,,,,,,,
211147,0.422,0,1bkvm3Ij45rYHplMYoegjX,0.0109,2,0.0494,-10.733,1,Samiótissa,0,1920-01-01,0.0597,120.906,0.946,1920,,,,,,,,,,,,,,,
247678,0.322,0,1bzr8IhTopsIKToYnjIyTS,0.848,1,0.123,-12.741,0,Airplanes,0,1920-04-20,0.0359,154.044,0.292,1920,,,,,,,,,,,,,,,
345000,0.467,0,1ierpLZZSofFzKqDzh28yj,0.933,11,0.0741,-13.92,0,Brusque - Etnik Remix,0,1920-01-01,0.122,127.998,0.443,1920,,,,,,,,,,,,,,,
154667,0.586,0,1pIFwQpzFwcWtFIZXuu2FX,0.789,5,0.0825,-6.56,0,Breakup Sext,0,1920-01-01,0.12,89.962,0.328,1920,,,,,,,,,,,,,,,
279053,0.324,0,1spKxUCvNzw1ZmZLPotE1k,0.000558,5,0.193,-10.098,1,Beat Up Scratched Up,0,1920-02-29,0.0253,103.933,0.527,1920,,,,,,,,,,,,,,,
257313,0.914,0,1vRn5VowmIoCNOyuy9GIm6,0.731,7,0.0982,-4.107,1,Big White - Radio Edit,0,1920-01-01,0.0305,127.016,0.759,1920,,,,,,,,,,,,,,,
77477,0.555,1,1xmJl2HjAyebReR7s83yJo,0.315,10,0.0883,-8.474,0,Trap em Casa,0,1920-08-04,0.0747,81.015,0.543,1920,,,,,,,,,,,,,,,
129287,0.532,0,1z8wyVUlZC7K2RdPRe70BE,0,2,0.16,-15.461,0,Nugget,1,1920-01-01,0.328,122.403,0.545,1920,,,,,,,,,,,,,,,
117816,0.413,1,1zpPyaMsJIqc0umXBfOkH8,0,1,0.139,-9.613,1,Wock(y),0,1920-04-20,0.226,92.484,0.308,1920,,,,,,,,,,,,,,,
220611,0.266,1,21V3Z1zsHv6XVLj4t7x9by,2.45E-06,8,0.0916,-17.262,0,Raindrops Droptops!,0,1920-07-05,0.0925,80.992,0.377,1920,,,,,,,,,,,,,,,
183387,0.284,0,21h1Sraq1TC2AuWgdG5Z5W,0.0518,7,0.351,-9.311,0,Adieu,0,1920,0.0322,78.124,0.134,1920,,,,,,,,,,,,,,,
269360,0.708,0,23AaYEj5iOKOIzfnzbA6Nu,0,9,0.136,-5.827,1,Gold Digger,0,1920-02-29,0.0297,111.868,0.635,1920,,,,,,,,,,,,,,,
290000,0.32,1,24pfUpoUsOo4XyPaHgPDBu,0.873,1,0.647,-27.838,1,Eurodance (Live) [feat. Ariel Flores & Sam Nacht],0,1920,0.0675,108.79,0.601,1920,,,,,,,,,,,,,,,
172987,0.147,0,28csnSz7AHcGYYxufDVL7G,0,1,0.404,-16.385,1,Lilas Blanc,0,1920,0.121,97.522,0.621,1920,,,,,,,,,,,,,,,
175267,0.197,0,2AWOgskypXnjLItNjzE6l5,0.000211,2,0.155,-13.103,1,Mean Daddy Blues,0,1920,0.0453,127.888,0.847,1920,,,,,,,,,,,,,,,
209427,0.386,0,2HH1UNGftpz0IMfHqfJaSD,0.00182,6,0.132,-12.777,0,"I stroumpoúlo, tsámiko",0,1920-01-01,0.0445,99.944,0.929,1920,,,,,,,,,,,,,,,
231400,0.492,0,2Jd26bWgOlF9hVWTYhKlGM,0.0137,1,0.157,-8.321,1,Sti filaki me valane,0,1920-01-01,0.0345,88.525,0.64,1920,,,,,,,,,,,,,,,
201867,0.306,0,2MZtBkCQLoEfpWl8dXuNfE,0,7,0.372,-15.441,1,Je Suis Le Petit Jeune Homme Que Vous Cherchez,0,1920,0.166,127.035,0.7,1920,,,,,,,,,,,,,,,
281500,0.0888,1,2PCiNuXDp5StM7fEmSLhPq,0.97,5,0.105,-27.907,0,Sin Safari (Live),0,1920,0.0446,80.226,0.0224,1920,,,,,,,,,,,,,,,
220003,0.401,0,2SQPbZQWoI1EVWh0YN3zXO,0,7,0.0903,-12.143,1,I'll See You in C U B A,0,1920,0.0467,149.048,0.201,1920,,,,,,,,,,,,,,,
216720,0.621,0,2XVujD5mP2bMSXLkpqeWKU,0.784,3,0.151,-10.843,0,Argilamas kai psarades,0,1920-01-01,0.0394,77.537,0.559,1920,,,,,,,,,,,,,,,
205140,0.419,0,2YhYGZJExSEpVb42iP8QYy,0,5,0.163,-14.442,0,My Little Bimbo,0,1920,0.0322,100.011,0.815,1920,,,,,,,,,,,,,,,
231400,0.492,0,2ZZ4rkQvNDkQt86sdwd398,0.0137,1,0.157,-8.321,1,Sti filaki me valane,0,1920-01-01,0.0345,88.525,0.64,1920,,,,,,,,,,,,,,,
127948,0.56,1,2cCJbwvd4EHPa7rNvoVCvL,0.000142,5,0.0835,-11.008,0,High Asf,1,1920-01-01,0.0788,115.021,0.33,1920,,,,,,,,,,,,,,,
284165,0.933,0,2e9fGpMVXdp8vj5YpSxd0B,0.455,0,0.11,-5.855,0,Head Off,0,1920-01-01,0.236,125.059,0.335,1920,,,,,,,,,,,,,,,
227500,0.382,1,2gUkW0vlRnpcX57aESZWHQ,0,3,0.0882,-10.918,0,Radar,0,1920,0.509,137.98,0.493,1920,,,,,,,,,,,,,,,
244219,0.458,1,2gzzgyvxUNjF1Q6B2zjjef,1.45E-06,9,0.304,-8.903,1,Four,0,1920,0.26,149.987,0.456,1920,,,,,,,,,,,,,,,
148720,0.322,0,2ijTs6mInatQG5cbElWaP3,0.983,9,0.216,-16.077,1,Tierrita - Remasterizado,0,1920-07-08,0.0414,133.515,0.763,1920,,,,,,,,,,,,,,,
335176,0.738,0,2jLH2nQ5GtKFcPaKkIPdPs,0.89,1,0.125,-7.457,0,Brusque - Dynasty Remix,0,1920-01-01,0.101,128.004,0.236,1920,,,,,,,,,,,,,,,
451500,0.0148,1,2lPgRiJE3LXsi9ABxNNVnV,0.727,2,0.699,-33.187,0,Descuernacabras (Live),0,1920,0.0434,76.734,0.0399,1920,,,,,,,,,,,,,,,
177528,0.438,0,2lTl3eUKAGNFq5crR0a9Bk,0.000177,1,0.182,-7.74,0,The Logo,0,1920-01-29,0.205,165.029,0.382,1920,,,,,,,,,,,,,,,
183093,0.103,0,2oRDv2SU6nuFQKYWEoyTUY,0.000419,1,0.432,-15.88,1,Du Gris,0,1920,0.0509,121.657,0.373,1920,,,,,,,,,,,,,,,
196200,0.147,0,2tvg1EATUx6VKS5ybpvhRa,0,5,0.399,-18.076,0,Bien Chapeautée,0,1920,0.0768,86.427,0.552,1920,,,,,,,,,,,,,,,
